Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::_local_scalar_dense,,,1.53,1.53,0,0,0,0
aclnnAdds,,,5.74,5.74,2.78,2.78,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.76,27.73,0,1.84,0,0
aten::empty_like,"2;
;
;
;
;
",,5.42,10.99,0,0,0,0
empty_tensor,,,5.57,5.57,0,0,0,0
aten::zero_,2,,6.71,11.98,0,1.84,0,0
aclnnInplaceZero,,,5.27,5.27,1.84,1.84,0,0
aten::where,"2;
2;
2",,18.96,27.37,0,2.0,0,0
empty_tensor,,,5.77,5.77,0,0,0,0
aclnnSWhere,,,2.64,2.64,2.0,2.0,0,0
Event::record,,,52.96,66.11,0,0.02,0,0
record_event,,,13.15,13.15,0.02,0.02,0,0
Event::wait,,,38.65,48.81,0,437.96,0,0
wait_event,,,10.16,10.16,437.96,437.96,0,0
aten::select,"2,2;
;
",,8.48,13.39,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.91,4.91,0,0,0,0
aten::reshape,"2,1;
",,3.31,9.6,0,0,0,0
aten::view,"2,1;
",,6.29,6.29,0,0,0,0
aten::copy_,"2;
2;
",,8.84,16.28,0,1.94,0,0
acl_memcpy_device_to_host,,,7.44,7.44,1.94,1.94,0,0
Event::record,,,48.74,56.9,0,0.02,0,0
record_event,,,8.16,8.16,0.02,0.02,0,0
destroy_event,,,5.7,5.7,0,0,0,0
Event::synchronize,,,56.36,56.36,0,0,0,0
aten::select,"2,2;
;
",,8.56,13.54,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.98,4.98,0,0,0,0
aten::resolve_conj,2,,1.3,1.3,0,0,0,0
aten::resolve_neg,2,,0.81,0.81,0,0,0,0
destroy_event,,,10.79,10.79,0,0,0,0
serving.decode_step,,,228.02,866.37,0,11.76,0,0
Event::record,,,97.8,110.07,0,0.02,0,0
record_event,,,12.27,12.27,0.02,0.02,0,0
cache_compiler inference,,,111.02,244.8,0,0,0,0
TorchNpuGraphBase::Run,,,24.12,133.78,0,0,0,0
AssembleInputs,,,10.91,10.91,0,0,0,0
AssembleOutputs,,,8.23,8.23,0,0,0,0
ExecuteGraph,,,61.38,61.38,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.85,29.14,0,0,0,0
aten::empty,";
;
;
;
;
",,6.67,15.04,0,0,0,0
empty_tensor,,,8.37,8.37,0,0,0,0
aten::set_,"0;
;
;
;
",,6.25,6.25,0,0,0,0
aten::reshape,"2,1;
",,4.33,10.23,0,0,0,0
aten::view,"2,1;
",,5.9,5.9,0,0,0,0
Event::record,,,101.35,115.87,0,0.02,0,0
record_event,,,14.52,14.52,0.02,0.02,0,0
aten::view,"2;
",,6.94,6.94,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,5.14,48.65,0,2.32,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.03,17.61,0,0,0,0
empty_tensor,,,11.58,11.58,0,0,0,0
aten::fill_,"2,1;
",,15.1,25.9,0,2.32,0,0
aclnnInplaceFillScalar,,,10.8,10.8,2.32,2.32,0,0
aten::where,"2,1;
2,1;
2,1",,13.46,27.31,0,2.64,0,0
empty_tensor,,,7.11,7.11,0,0,0,0
aclnnSWhere,,,6.74,6.74,2.64,2.64,0,0
aten::add,"2;
;
",,14.28,29.78,0,2.88,0,0
empty_tensor,,,5.63,5.63,0,0,0,0
aten::item,,,2.25,3.94,0,0,0,0
aten::_local_scalar_dense,,,1.69,1.69,0,0,0,0
aclnnAdds,,,5.93,5.93,2.88,2.88,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.29,26.13,0,1.82,0,0
aten::empty_like,"2;
;
;
;
;
",,5.34,9.94,0,0,0,0
empty_tensor,,,4.6,4.6,0,0,0,0
aten::zero_,2,,6.83,11.9,0,1.82,0,0
aclnnInplaceZero,,,5.07,5.07,1.82,1.82,0,0
aten::where,"2;
2;
2",,8.9,18.57,0,2.06,0,0
empty_tensor,,,4.65,4.65,0,0,0,0
aclnnSWhere,,,5.02,5.02,2.06,2.06,0,0
Event::record,,,53.43,65.91,0,0.02,0,0
record_event,,,12.48,12.48,0.02,0.02,0,0
Event::wait,,,40.08,50.03,0,462.62,0,0
wait_event,,,9.95,9.95,462.62,462.62,0,0
aten::select,"2,2;
;
",,8.14,13.52,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.38,5.38,0,0,0,0
aten::reshape,"2,1;
",,3.57,9.86,0,0,0,0
aten::view,"2,1;
",,6.29,6.29,0,0,0,0
aten::copy_,"2;
2;
",,8.36,15.66,0,1.84,0,0
acl_memcpy_device_to_host,,,7.3,7.3,1.84,1.84,0,0
Event::record,,,49.44,57.7,0,0.02,0,0
record_event,,,8.26,8.26,0.02,0.02,0,0
destroy_event,,,5.99,5.99,0,0,0,0
Event::synchronize,,,54.54,54.54,0,0,0,0
aten::select,"2,2;
;
",,8.29,12.93,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.64,4.64,0,0,0,0
aten::resolve_conj,2,,1.2,1.2,0,0,0,0
aten::resolve_neg,2,,0.7,0.7,0,0,0,0
destroy_event,,,9.57,9.57,0,0,0,0
serving.decode_step,,,225.87,857.49,0,11.32,0,0
Event::record,,,96.4,108.63,0,0.02,0,0
record_event,,,12.23,12.23,0.02,0.02,0,0
cache_compiler inference,,,109.56,241.39,0,0,0,0
TorchNpuGraphBase::Run,,,23.65,131.83,0,0,0,0
AssembleInputs,,,10.92,10.92,0,0,0,0
AssembleOutputs,,,7.01,7.01,0,0,0,0
ExecuteGraph,,,60.38,60.38,0,0,0,0
RefreshAtTensorFromGeTensor,,,7.78,29.87,0,0,0,0
aten::empty,";
;
;
;
;
",,6.2,14.96,0,0,0,0
empty_tensor,,,8.76,8.76,0,0,0,0
aten::set_,"0;
;
;
;
",,7.13,7.13,0,0,0,0
aten::reshape,"2,1;
",,4.37,10.49,0,0,0,0
aten::view,"2,1;
",,6.12,6.12,0,0,0,0
Event::record,,,101.82,116.46,0,0.02,0,0
record_event,,,14.64,14.64,0.02,0.02,0,0
aten::view,"2;
",,6.87,6.87,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,4.68,48.65,0,1.94,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.53,18.18,0,0,0,0
empty_tensor,,,11.65,11.65,0,0,0,0
aten::fill_,"2,1;
",,14.11,25.79,0,1.94,0,0
aclnnInplaceFillScalar,,,11.68,11.68,1.94,1.94,0,0
aten::where,"2,1;
2,1;
2,1",,12.45,25.88,0,2.66,0,0
empty_tensor,,,6.66,6.66,0,0,0,0
aclnnSWhere,,,6.77,6.77,2.66,2.66,0,0
aten::add,"2;
;
",,13.71,27.48,0,2.98,0,0
empty_tensor,,,4.88,4.88,0,0,0,0
aten::item,,,2.19,3.59,0,0,0,0
aten::_local_scalar_dense,,,1.4,1.4,0,0,0,0
aclnnAdds,,,5.3,5.3,2.98,2.98,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.64,27.12,0,1.72,0,0
aten::empty_like,"2;
;
;
;
;
",,4.68,9.82,0,0,0,0
empty_tensor,,,5.14,5.14,0,0,0,0
aten::zero_,2,,6.36,12.66,0,1.72,0,0
aclnnInplaceZero,,,6.3,6.3,1.72,1.72,0,0
aten::where,"2;
2;
2",,9.02,18.65,0,1.98,0,0
