Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,MatMul,AI_CORE,273,2628.92,6,9.629,139.42,56.853
2,IncreFlashAttention,MIX_AIC,54,1036.66,17.46,19.197,22.38,22.419
2,InplaceAddRmsNorm,AI_VECTOR_CORE,108,195.62,1.48,1.811,2.92,4.23
2,Scatter,AI_VECTOR_CORE,108,146.7,0.98,1.358,2.18,3.173
2,ApplyRotaryPosEmb,AI_VECTOR_CORE,54,132.24,2.06,2.448,3.98,2.86
2,SplitVD,AI_VECTOR_CORE,60,83.1,0.98,1.385,4.08,1.797
2,AutomaticBufferFusionOp,AI_VECTOR_CORE,54,82.4,1.22,1.525,2.28,1.782
2,GatherV2,AI_VECTOR_CORE,39,53.76,1.08,1.378,2.6,1.163
2,ArgMaxV2,AI_VECTOR_CORE,3,42.16,13.98,14.053,14.16,0.912
2,Cast,AI_VECTOR_CORE,12,35.62,1.12,2.968,8.36,0.77
2,ConcatV2D,AI_VECTOR_CORE,9,33.32,3.34,3.702,4.06,0.721
2,Range,AI_VECTOR_CORE,3,25.74,8.14,8.58,9.16,0.557
2,Greater,AI_VECTOR_CORE,3,19.04,6.3,6.346,6.38,0.412
2,RmsNorm,AI_VECTOR_CORE,3,18.58,5.74,6.193,6.48,0.402
2,Add,AI_VECTOR_CORE,6,15.16,1.64,2.526,3.26,0.328
2,Data,AI_VECTOR_CORE,3,14.86,3.88,4.953,5.74,0.321
2,SelectV2,AI_VECTOR_CORE,6,14.64,2,2.44,3.42,0.317
2,Mul,AI_VECTOR_CORE,9,11.58,1.14,1.286,1.5,0.25
2,BroadcastTo,AI_VECTOR_CORE,6,8.08,1.22,1.346,1.58,0.175
2,Fill,AI_VECTOR_CORE,3,6.76,2.18,2.253,2.36,0.146
2,ZerosLike,AI_VECTOR_CORE,3,6.76,1.7,2.253,3.24,0.146
2,Cos,AI_VECTOR_CORE,3,6.4,2.02,2.133,2.3,0.138
2,Sin,AI_VECTOR_CORE,3,5.96,1.94,1.986,2.06,0.129
