Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,Conv2D,AI_CORE,1,8225.66,8225.66,8225.66,8225.66,96.142
6,TransData,AI_VECTOR_CORE,6,116.16,11.3,19.36,31.82,1.358
6,ResizeBilinearV2,AI_VECTOR_CORE,1,114.96,114.96,114.96,114.96,1.344
6,Transpose,AI_VECTOR_CORE,2,54.38,25.54,27.19,28.84,0.636
6,TensorMove,AI_VECTOR_CORE,1,11.36,11.36,11.36,11.36,0.133
6,MemSet,AI_VECTOR_CORE,1,11.2,11.2,11.2,11.2,0.131
6,Add,AI_VECTOR_CORE,1,11,11,11,11,0.129
6,Tile,AI_VECTOR_CORE,1,9.34,9.34,9.34,9.34,0.109
6,Cast,AI_VECTOR_CORE,1,1.64,1.64,1.64,1.64,0.019
