Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,MatMul,AI_CORE,273,3012.84,6.12,11.036,156.84,37.081
2,IncreFlashAttention,MIX_AIC,54,2594.7,45.16,48.05,55.06,31.935
2,Scatter,AI_VECTOR_CORE,108,490.96,3.16,4.545,6.8,6.043
2,InplaceAddRmsNorm,AI_VECTOR_CORE,108,480.48,4.1,4.448,7.8,5.914
2,ApplyRotaryPosEmb,AI_VECTOR_CORE,54,438.92,7.18,8.128,11.9,5.402
2,AutomaticBufferFusionOp,AI_VECTOR_CORE,54,431.4,7.8,7.988,8.3,5.309
2,SplitVD,AI_VECTOR_CORE,60,163.26,2.46,2.721,4.12,2.009
2,GatherV2,AI_VECTOR_CORE,39,149.3,1.1,3.828,7.52,1.838
2,ArgMaxV2,AI_VECTOR_CORE,3,63.04,20.92,21.013,21.14,0.776
2,Cast,AI_VECTOR_CORE,12,42.38,1.1,3.531,10.44,0.522
2,Mul,AI_VECTOR_CORE,9,39.46,2.56,4.384,7.3,0.486
2,ConcatV2D,AI_VECTOR_CORE,9,34.86,3.48,3.873,4.38,0.429
2,RmsNorm,AI_VECTOR_CORE,3,32.26,10.66,10.753,10.86,0.397
2,Range,AI_VECTOR_CORE,3,27.88,8.48,9.293,10.78,0.343
2,BroadcastTo,AI_VECTOR_CORE,6,25.24,1.08,4.206,7.38,0.311
2,Greater,AI_VECTOR_CORE,3,22.7,7.5,7.566,7.6,0.279
2,Add,AI_VECTOR_CORE,6,13.58,1.4,2.263,3.16,0.167
2,Data,AI_VECTOR_CORE,3,13.44,3.94,4.48,5.38,0.165
2,Cos,AI_VECTOR_CORE,3,12.8,4.2,4.266,4.32,0.158
2,Sin,AI_VECTOR_CORE,3,12.42,4.06,4.14,4.28,0.153
2,SelectV2,AI_VECTOR_CORE,6,11,1.66,1.833,2.12,0.135
2,Fill,AI_VECTOR_CORE,3,6.32,2.04,2.106,2.22,0.078
2,ZerosLike,AI_VECTOR_CORE,3,5.82,1.9,1.94,1.98,0.072
