Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::_local_scalar_dense,,,1.85,1.85,0,0,0,0
aclnnAdds,,,5.85,5.85,2.74,2.74,0,0
aten::zeros_like,"2;
;
;
;
;
",,5.11,27.54,0,1.82,0,0
aten::empty_like,"2;
;
;
;
;
",,5.06,9.92,0,0,0,0
empty_tensor,,,4.86,4.86,0,0,0,0
aten::zero_,2,,6.7,12.51,0,1.82,0,0
aclnnInplaceZero,,,5.81,5.81,1.82,1.82,0,0
aten::where,"2;
2;
2",,9.78,20.24,0,2.18,0,0
empty_tensor,,,5.07,5.07,0,0,0,0
aclnnSWhere,,,5.39,5.39,2.18,2.18,0,0
Event::record,,,54.2,67.68,0,0.02,0,0
record_event,,,13.48,13.48,0.02,0.02,0,0
Event::wait,,,40.29,50.61,0,429.98,0,0
wait_event,,,10.32,10.32,429.98,429.98,0,0
aten::select,"2,2;
;
",,8.33,13.62,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.29,5.29,0,0,0,0
aten::reshape,"2,1;
",,3.46,9.97,0,0,0,0
aten::view,"2,1;
",,6.51,6.51,0,0,0,0
aten::copy_,"2;
2;
",,9.76,21.84,0,1.9,0,0
acl_memcpy_device_to_host,,,12.08,12.08,1.9,1.9,0,0
Event::record,,,52.56,61.93,0,0.02,0,0
record_event,,,9.37,9.37,0.02,0.02,0,0
destroy_event,,,5.87,5.87,0,0,0,0
Event::synchronize,,,55.93,55.93,0,0,0,0
aten::select,"2,2;
;
",,8.73,17.38,0,0,0,0
aten::as_strided,"2,2;
;
;
",,8.65,8.65,0,0,0,0
aten::resolve_conj,2,,1.33,1.33,0,0,0,0
aten::resolve_neg,2,,0.86,0.86,0,0,0,0
destroy_event,,,9.6,9.6,0,0,0,0
serving.decode_step,,,230.64,891.59,0,11.92,0,0
Event::record,,,98.47,110.0,0,0.02,0,0
record_event,,,11.53,11.53,0.02,0.02,0,0
cache_compiler inference,,,112.79,257.37,0,0,0,0
TorchNpuGraphBase::Run,,,24.46,144.58,0,0,0,0
AssembleInputs,,,11.0,11.0,0,0,0,0
AssembleOutputs,,,11.08,11.08,0,0,0,0
ExecuteGraph,,,66.58,66.58,0,0,0,0
RefreshAtTensorFromGeTensor,,,8.06,31.46,0,0,0,0
aten::empty,";
;
;
;
;
",,7.45,16.09,0,0,0,0
empty_tensor,,,8.64,8.64,0,0,0,0
aten::set_,"0;
;
;
;
",,7.31,7.31,0,0,0,0
aten::reshape,"2,1;
",,4.28,10.33,0,0,0,0
aten::view,"2,1;
",,6.05,6.05,0,0,0,0
Event::record,,,105.64,119.38,0,0.02,0,0
record_event,,,13.74,13.74,0.02,0.02,0,0
aten::view,"2;
",,7.28,7.28,0,0,0,0
aten::full_like,"2,1;
;
;
;
;
;
",,9.57,51.66,0,2.22,0,0
aten::empty_like,"2,1;
;
;
;
;
",,6.74,18.36,0,0,0,0
empty_tensor,,,11.62,11.62,0,0,0,0
aten::fill_,"2,1;
",,14.53,23.73,0,2.22,0,0
aclnnInplaceFillScalar,,,9.2,9.2,2.22,2.22,0,0
aten::where,"2,1;
2,1;
2,1",,13.52,26.96,0,2.72,0,0
empty_tensor,,,6.87,6.87,0,0,0,0
aclnnSWhere,,,6.57,6.57,2.72,2.72,0,0
aten::add,"2;
;
",,14.82,31.31,0,3.2,0,0
empty_tensor,,,5.92,5.92,0,0,0,0
aten::item,,,2.58,4.92,0,0,0,0
aten::_local_scalar_dense,,,2.34,2.34,0,0,0,0
aclnnAdds,,,5.65,5.65,3.2,3.2,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.75,26.95,0,1.8,0,0
aten::empty_like,"2;
;
;
;
;
",,5.03,9.66,0,0,0,0
empty_tensor,,,4.63,4.63,0,0,0,0
aten::zero_,2,,6.63,12.54,0,1.8,0,0
aclnnInplaceZero,,,5.91,5.91,1.8,1.8,0,0
aten::where,"2;
2;
2",,9.51,19.71,0,1.94,0,0
empty_tensor,,,4.95,4.95,0,0,0,0
aclnnSWhere,,,5.25,5.25,1.94,1.94,0,0
Event::record,,,52.75,64.01,0,0.02,0,0
record_event,,,11.26,11.26,0.02,0.02,0,0
Event::wait,,,39.83,50.36,0,433.98,0,0
wait_event,,,10.53,10.53,433.98,433.98,0,0
aten::select,"2,2;
;
",,8.24,13.73,0,0,0,0
aten::as_strided,"2,2;
;
;
",,5.49,5.49,0,0,0,0
aten::reshape,"2,1;
",,3.55,10.15,0,0,0,0
aten::view,"2,1;
",,6.6,6.6,0,0,0,0
aten::copy_,"2;
2;
",,9.7,17.51,0,1.98,0,0
acl_memcpy_device_to_host,,,7.81,7.81,1.98,1.98,0,0
Event::record,,,52.82,61.07,0,0.02,0,0
record_event,,,8.25,8.25,0.02,0.02,0,0
destroy_event,,,6.12,6.12,0,0,0,0
Event::synchronize,,,42.84,42.84,0,0,0,0
aten::select,"2,2;
;
",,7.75,12.11,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.36,4.36,0,0,0,0
aten::resolve_conj,2,,1.18,1.18,0,0,0,0
aten::resolve_neg,2,,0.86,0.86,0,0,0,0
destroy_event,,,10.33,10.33,0,0,0,0
serving.decode_step,,,237.54,873.74,0,11.34,0,0
Event::record,,,96.84,108.28,0,0.02,0,0
