Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,model,ModelLoad,2272706.19,16,142044.137,60432.8,170287.98,674196042.812
host,acl,aclCreateDataBuffer,3.59,9,0.399,0.2,0.85,0.046
host,acl,aclCreateTensorDesc,6.41,9,0.712,0.4,1.98,0.231
host,acl,aclDestroyTensorDesc,4.2,9,0.467,0.26,1.83,0.234
host,acl,aclmdlRICaptureGetInfo,5.33,3,1.777,0.66,2.96,0.884
host,acl,aclnnCat,14.24,1,14.24,14.24,14.24,0
host,acl,aclnnRepeat,34.19,1,34.19,34.19,34.19,0
host,acl,aclnnUpsampleBilinear2d,120.13,1,120.13,120.13,120.13,0
host,acl,aclopCompileAndExecute,586.46,3,195.487,56.72,423.9,26488.454
host,acl,aclopCreateAttr,0.34,1,0.34,0.34,0.34,0
host,acl,aclopDestroyAttr,1.69,1,1.69,1.69,1.69,0
host,acl,aclrtGetStreamAttribute,5.47,3,1.823,0.7,3.83,2.023
host,acl,aclrtLaunchKernelWithHostArgs,84.28,9,9.364,2.31,41.65,146.623
host,acl,aclrtSynchronizeDeviceWithTimeout,7818.74,1,7818.74,7818.74,7818.74,0
host,node,launch,147971.35,11983,12.348,3.16,80.79,81.97
host,acl,opCompile,108.41,3,36.137,14.04,64.6,446.319
