Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
serving.vision_embeddings,,,538.25,1156.95,0,341.65999999999997,0,85.64
aten::reshape,"1,3840,3,14,14;
",,28.87,55.43,0,0,0,0
aten::view,"1,3840,3,14,14;
",,26.56,26.56,0,0,0,0
aten::to,"3840,3,14,14;
;
;
;
",,6.37,6.37,0,0,0,0
aten::flatten,"3840,3,14,14;
;
",,7.35,12.34,0,0,0,0
aten::view,"3840,3,14,14;
",,4.99,4.99,0,0,0,0
aten::flatten,"1152,3,14,14;
;
",,4.39,14.15,0,0,0,0
aten::view,"1152,3,14,14;
",,9.76,9.76,0,0,0,0
aten::linear,"3840,588;
1152,588;
1152",,12.41,171.09,0,85.64,0,85.64
aten::t,"1152,588",,3.96,24.68,0,0,0,0
aten::transpose,"1152,588;
;
",,9.62,20.72,0,0,0,0
aten::as_strided,"1152,588;
;
;
",,11.1,11.1,0,0,0,0
aten::addmm,"1152;
3840,588;
588,1152;
;
",,65.15,134.0,0,85.64,0,85.64
empty_tensor,,,44.1,44.1,0,0,0,0
aclnnAddmm,,,24.75,24.75,85.64,85.64,85.64,85.64
aten::reshape,"3840,1152;
",,3.88,8.07,0,0,0,0
aten::view,"3840,1152;
",,4.19,4.19,0,0,0,0
aten::squeeze,"1,3840,1152;
",,10.06,15.05,0,0,0,0
aten::as_strided,"1,3840,1152;
;
;
",,4.99,4.99,0,0,0,0
aten::unbind,"1,3;
",,6.76,26.42,0,0,0,0
aten::select,"1,3;
;
",,11.0,19.66,0,0,0,0
aten::as_strided,"1,3;
;
;
",,8.66,8.66,0,0,0,0
aten::unbind,"3;
",,4.1,20.69,0,0,0,0
aten::select,"3;
;
",,3.74,6.14,0,0,0,0
aten::as_strided,"3;
;
;
",,2.4,2.4,0,0,0,0
aten::select,"3;
;
",,2.66,5.0,0,0,0,0
aten::as_strided,"3;
;
;
",,2.34,2.34,0,0,0,0
aten::select,"3;
;
",,3.01,5.45,0,0,0,0
aten::as_strided,"3;
;
;
",,2.44,2.44,0,0,0,0
aten::item,,,5.26,9.59,0,0,0,0
aten::_local_scalar_dense,,,4.33,4.33,0,0,0,0
aten::item,,,1.66,2.86,0,0,0,0
aten::_local_scalar_dense,,,1.2,1.2,0,0,0,0
aten::item,,,1.55,2.69,0,0,0,0
aten::_local_scalar_dense,,,1.14,1.14,0,0,0,0
aten::alias,"3840,1152",,6.05,6.05,0,0,0,0
aten::unsqueeze,"729,1152;
",,6.92,15.46,0,0,0,0
aten::as_strided,"729,1152;
;
;
",,8.54,8.54,0,0,0,0
aten::reshape,"1,729,1152;
",,2.81,6.52,0,0,0,0
aten::view,"1,729,1152;
",,3.71,3.71,0,0,0,0
aten::permute,"1,27,27,1152;
",,7.22,11.33,0,0,0,0
aten::as_strided,"1,27,27,1152;
;
;
",,4.11,4.11,0,0,0,0
aten::upsample_bilinear2d,"1,1152,27,27;
;
;
",,9.46,90.49,0,186.16,0,0
aten::upsample_bilinear2d,"1,1152,27,27;
;
;
;
",,42.45,81.03,0,186.16,0,0
empty_tensor,,,25.78,25.78,0,0,0,0
aclnnUpsampleBilinear2d,,,12.8,12.8,186.16,186.16,0,0
aten::permute,"1,1152,48,80;
",,4.83,10.91,0,0,0,0
aten::as_strided,"1,1152,48,80;
;
;
",,6.08,6.08,0,0,0,0
aten::view,"1,48,80,1152;
",,4.59,4.59,0,0,0,0
aten::squeeze,"1,3840,1152;
",,4.71,8.49,0,0,0,0
aten::as_strided,"1,3840,1152;
;
;
",,3.78,3.78,0,0,0,0
aten::repeat,"3840,1152;
",,23.92,47.51,0,40.1,0,0
empty_tensor,,,14.4,14.4,0,0,0,0
aclnnRepeat,,,9.19,9.19,40.1,40.1,0,0
aten::add,"3840,1152;
3840,1152;
",,25.1,37.82,0,13.1,0,0
empty_tensor,,,5.67,5.67,0,0,0,0
aclnnAdd,,,7.05,7.05,13.1,13.1,0,0
aten::cat,";
",,21.82,34.78,0,16.66,0,0
empty_tensor,,,6.64,6.64,0,0,0,0
aclnnCat,,,6.32,6.32,16.66,16.66,0,0
