Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,ResizeBilinearV2,AI_VECTOR_CORE,1,115.82,115.82,115.82,115.82,33.899
6,MatMulV2,AI_CORE,1,85.64,85.64,85.64,85.64,25.066
6,Transpose,AI_VECTOR_CORE,2,55.74,26.44,27.87,29.3,16.314
6,TransData,AI_VECTOR_CORE,3,42.28,13.3,14.093,15.12,12.375
6,TensorMove,AI_VECTOR_CORE,1,16.66,16.66,16.66,16.66,4.876
6,Add,AI_VECTOR_CORE,1,13.1,13.1,13.1,13.1,3.834
6,Tile,AI_VECTOR_CORE,1,10.8,10.8,10.8,10.8,3.161
6,Cast,AI_VECTOR_CORE,1,1.62,1.62,1.62,1.62,0.474
