Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
6,Conv2D,AI_CORE,1,8214.4,8214.4,8214.4,8214.4,96.084
6,TransData,AI_VECTOR_CORE,6,119,11.36,19.833,37.48,1.392
6,ResizeBilinearV2,AI_VECTOR_CORE,1,115.02,115.02,115.02,115.02,1.345
6,Transpose,AI_VECTOR_CORE,2,56.12,27.54,28.06,28.58,0.656
6,TensorMove,AI_VECTOR_CORE,1,11.38,11.38,11.38,11.38,0.133
6,Add,AI_VECTOR_CORE,1,11.22,11.22,11.22,11.22,0.131
6,MemSet,AI_VECTOR_CORE,1,10.9,10.9,10.9,10.9,0.127
6,Tile,AI_VECTOR_CORE,1,9.54,9.54,9.54,9.54,0.112
6,Cast,AI_VECTOR_CORE,1,1.6,1.6,1.6,1.6,0.019
