Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aclnnSWhere,,,6.01,6.01,2.58,2.58,0,0
aten::add,"2;
;
",,14.05,27.47,0,2.86,0,0
empty_tensor,,,4.79,4.79,0,0,0,0
aten::item,,,2.02,3.64,0,0,0,0
aten::_local_scalar_dense,,,1.62,1.62,0,0,0,0
aclnnAdds,,,4.99,4.99,2.86,2.86,0,0
aten::zeros_like,"2;
;
;
;
;
",,4.48,25.32,0,1.86,0,0
aten::empty_like,"2;
;
;
;
;
",,4.96,9.79,0,0,0,0
empty_tensor,,,4.83,4.83,0,0,0,0
aten::zero_,2,,6.25,11.05,0,1.86,0,0
aclnnInplaceZero,,,4.8,4.8,1.86,1.86,0,0
aten::where,"2;
2;
2",,8.81,21.15,0,1.94,0,0
empty_tensor,,,4.57,4.57,0,0,0,0
aclnnSWhere,,,7.77,7.77,1.94,1.94,0,0
Event::record,,,51.78,64.12,0,0.02,0,0
record_event,,,12.34,12.34,0.02,0.02,0,0
Event::wait,,,39.81,48.89,0,410.56,0,0
wait_event,,,9.08,9.08,410.56,410.56,0,0
aten::select,"2,2;
;
",,8.06,12.86,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.8,4.8,0,0,0,0
aten::reshape,"2,1;
",,3.22,9.65,0,0,0,0
aten::view,"2,1;
",,6.43,6.43,0,0,0,0
aten::copy_,"2;
2;
",,8.96,15.39,0,2.02,0,0
acl_memcpy_device_to_host,,,6.43,6.43,2.02,2.02,0,0
Event::record,,,48.68,57.52,0,0.02,0,0
record_event,,,8.84,8.84,0.02,0.02,0,0
destroy_event,,,5.96,5.96,0,0,0,0
Event::synchronize,,,43.44,43.44,0,0,0,0
aten::select,"2,2;
;
",,7.09,11.64,0,0,0,0
aten::as_strided,"2,2;
;
;
",,4.55,4.55,0,0,0,0
aten::resolve_conj,2,,1.32,1.32,0,0,0,0
aten::resolve_neg,2,,0.91,0.91,0,0,0,0
destroy_event,,,8.93,8.93,0,0,0,0
serving.decode_step,,,230.77,1099.57,0,11.14,0,0
Event::record,,,96.36,107.42,0,0.02,0,0
record_event,,,11.06,11.06,0.02,0.02,0,0
cache_compiler inference,,,115.56,447.95,0,0,0,0
TorchDynamo Cache Lookup,,,113.92,113.92,0,0,0,0
Torch-Compiled Region: 0/0,,,92.13,218.47,0,0,0,0
TorchNpuGraphBase::Run,,,25.49,126.34,0,0,0,0
AssembleInputs,,,10.57,10.57,0,0,0,0
AssembleOutputs,,,6.88,6.88,0,0,0,0
ExecuteGraph,,,52.42,52.42,0,0,0,0
RefreshAtTensorFromGeTensor,,,8.08,30.98,0,0,0,0
aten::empty,";
;
;
;
;
",,6.85,15.4,0,0,0,0
