role,capture_metric,source_kind,source_path,record_type,record_index,core_id,subcore_id,subcore_type,category,metric,unit,raw_value,numeric_value,is_missing,context_json
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,10,,cube,block_detail,duration_us,us,28.133888,28.133888,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,11,,cube,block_detail,duration_us,us,27.327223,27.327223,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,12,,cube,block_detail,duration_us,us,28.656666,28.656666,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,13,,cube,block_detail,duration_us,us,28.806110,28.80611,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,14,,cube,block_detail,duration_us,us,27.899445,27.899445,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,15,,cube,block_detail,duration_us,us,27.770000,27.77,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,16,,cube,block_detail,duration_us,us,27.138334,27.138334,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,17,,cube,block_detail,duration_us,us,28.174999,28.174999,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,18,,cube,block_detail,duration_us,us,27.769444,27.769444,false,
square,ResourceConflictRatio,visualize_json,square/OPPROF_20260730111041_PAQVWYJMRYWFIAXE/visualize_data.bin,0x05,0,19,,cube,block_detail,duration_us,us,27.259445,27.259445,false,
