Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,106,1.200,1785953640529703.015	,1785953640529704.215	
6,te_increflashattention_2914112daf2119d1a6ac422cf22e392b78d9700782ead7ab08aedf7e11e5e07a,MIX_AIC,6,107,20.800,1785953640529705.295	,1785953640529726.095	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,108,7.600,1785953640529727.135	,1785953640529734.735	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,109,1.600,1785953640529734.755	,1785953640529736.355	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,110,9.460,1785953640529736.375	,1785953640529745.835	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,111,7.440,1785953640529745.875	,1785953640529753.315	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,112,1.560,1785953640529753.355	,1785953640529754.915	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,113,10.380,1785953640529754.935	,1785953640529765.315	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,114,1.720,1785953640529765.335	,1785953640529767.055	
6,te_matmul_8b3306b24f57361e2a756293ea64a1342b18a16b177ad6fca4f83f7599a3ea0c__kernel0,AI_CORE,6,115,8.580,1785953640529767.075	,1785953640529775.655	
6,te_splitvd_d17965c7d7e8ef98e5c4a8c43fa07c60556f4deba7163560075b8d51d2e3b888__kernel0,AI_VECTOR_CORE,6,116,1.200,1785953640529775.675	,1785953640529776.875	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,117,1.200,1785953640529776.895	,1785953640529778.095	
6,te_applyrotaryposemb_d142cc98ab2a1283d0b176e197a8ed3001866bf12ff64f3cce53340ff1295250__kernel0,AI_VECTOR_CORE,6,118,2.480,1785953640529778.115	,1785953640529780.595	
6,te_scatter_226cddbe36c13c7aebd4a0af4bc042719ab78ce0f7965ec85f752da1566c91ec__kernel0,AI_VECTOR_CORE,6,119,0.940,1785953640529780.615	,1785953640529781.555	
6,te_increflashattention_2914112daf2119d1a6ac422cf22e392b78d9700782ead7ab08aedf7e11e5e07a,MIX_AIC,6,120,20.140,1785953640529782.535	,1785953640529802.675	
6,te_matmul_a92d78a2a636f0ef9776f17dd0acd72f7ba1d30e82463bbb55edd5081230e838__kernel0,AI_CORE,6,121,5.160,1785953640529803.775	,1785953640529808.935	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,122,1.500,1785953640529808.955	,1785953640529810.455	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,123,8.340,1785953640529810.475	,1785953640529818.815	
6,te_matmul_bac92edeeee5b874c1c665ecb93900a68beded56e576c8b8b4a54f95d341bdf0__kernel0,AI_CORE,6,124,5.320,1785953640529818.835	,1785953640529824.155	
6,te_fused_op_swish_mul_6235946b44b6b3fc89fd62f02f7acc045d1373c83dbcb9f0004402584da8f7fa__kernel0,AI_VECTOR_CORE,6,125,1.620,1785953640529824.175	,1785953640529825.795	
6,te_matmul_d08950d81d2f88768302fcaea768c33589946bf5769be44a85bd2514a20364c9__kernel0,AI_CORE,6,126,8.360,1785953640529825.815	,1785953640529834.175	
6,te_inplaceaddrmsnorm_a883b051670cdb40aecf76240ba6a16cb95509b6a775ad8f61eb853cf6acb1f9__kernel0,AI_VECTOR_CORE,6,127,1.480,1785953640529834.195	,1785953640529835.675	
