Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
2,IncreFlashAttention,MIX_AIC,54,3858.48,66.62,71.453,81.16,36.632
2,MatMul,AI_CORE,273,3416.52,7.2,12.514,158.4,32.436
2,InplaceAddRmsNorm,AI_VECTOR_CORE,108,870.7,6.02,8.062,12.2,8.266
2,Scatter,AI_VECTOR_CORE,108,594.52,2.74,5.504,10.08,5.644
2,ApplyRotaryPosEmb,AI_VECTOR_CORE,54,544.24,9.64,10.078,10.54,5.167
2,AutomaticBufferFusionOp,AI_VECTOR_CORE,54,443.56,7.98,8.214,8.5,4.211
2,SplitVD,AI_VECTOR_CORE,60,211.94,2.8,3.532,4.14,2.012
2,GatherV2,AI_VECTOR_CORE,39,176.26,2.78,4.519,7.46,1.673
2,ArgMaxV2,AI_VECTOR_CORE,3,94.54,31.06,31.513,32.06,0.898
2,Cast,AI_VECTOR_CORE,12,52.02,1.14,4.335,14.52,0.494
2,Mul,AI_VECTOR_CORE,9,42.3,1.82,4.7,7.3,0.402
2,RmsNorm,AI_VECTOR_CORE,3,32.96,9.58,10.986,13.36,0.313
2,Greater,AI_VECTOR_CORE,3,30.74,10.2,10.246,10.32,0.292
2,ConcatV2D,AI_VECTOR_CORE,9,27.92,2.06,3.102,3.8,0.265
2,Range,AI_VECTOR_CORE,3,25.84,8.26,8.613,9.26,0.245
2,BroadcastTo,AI_VECTOR_CORE,6,25.2,1.12,4.2,7.38,0.239
2,Cos,AI_VECTOR_CORE,3,17.86,5.92,5.953,6,0.17
2,Sin,AI_VECTOR_CORE,3,17.2,5.68,5.733,5.78,0.163
2,Data,AI_VECTOR_CORE,3,13.46,3.88,4.486,5.56,0.128
2,Add,AI_VECTOR_CORE,6,13.24,1.46,2.206,3,0.126
2,SelectV2,AI_VECTOR_CORE,6,11.92,1.74,1.986,2.26,0.113
2,Fill,AI_VECTOR_CORE,3,5.96,1.88,1.986,2.08,0.057
2,ZerosLike,AI_VECTOR_CORE,3,5.7,1.86,1.9,1.96,0.054
