Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
serving.vision_embeddings,,,494.7,1035.3,0,332.58,0,86.02
aten::reshape,"1,3840,3,14,14;
",,22.3,47.81,0,0,0,0
aten::view,"1,3840,3,14,14;
",,25.51,25.51,0,0,0,0
aten::to,"3840,3,14,14;
;
;
;
",,5.14,5.14,0,0,0,0
aten::flatten,"3840,3,14,14;
;
",,6.89,11.98,0,0,0,0
aten::view,"3840,3,14,14;
",,5.09,5.09,0,0,0,0
aten::flatten,"1152,3,14,14;
;
",,2.92,6.45,0,0,0,0
aten::view,"1152,3,14,14;
",,3.53,3.53,0,0,0,0
aten::linear,"3840,588;
1152,588;
1152",,11.73,162.51,0,86.02,0,86.02
aten::t,"1152,588",,3.66,26.14,0,0,0,0
aten::transpose,"1152,588;
;
",,9.43,22.48,0,0,0,0
aten::as_strided,"1152,588;
;
;
",,13.05,13.05,0,0,0,0
aten::addmm,"1152;
3840,588;
588,1152;
;
",,60.52,124.64,0,86.02,0,86.02
empty_tensor,,,42.46,42.46,0,0,0,0
aclnnAddmm,,,21.66,21.66,86.02,86.02,86.02,86.02
aten::reshape,"3840,1152;
",,3.74,7.94,0,0,0,0
aten::view,"3840,1152;
",,4.2,4.2,0,0,0,0
aten::squeeze,"1,3840,1152;
",,8.48,12.96,0,0,0,0
aten::as_strided,"1,3840,1152;
;
;
",,4.48,4.48,0,0,0,0
aten::unbind,"1,3;
",,7.58,28.39,0,0,0,0
aten::select,"1,3;
;
",,12.26,20.81,0,0,0,0
aten::as_strided,"1,3;
;
;
",,8.55,8.55,0,0,0,0
aten::unbind,"3;
",,3.85,23.83,0,0,0,0
aten::select,"3;
;
",,3.85,6.14,0,0,0,0
aten::as_strided,"3;
;
;
",,2.29,2.29,0,0,0,0
aten::select,"3;
;
",,6.17,8.35,0,0,0,0
aten::as_strided,"3;
;
;
",,2.18,2.18,0,0,0,0
aten::select,"3;
;
",,2.7,5.49,0,0,0,0
aten::as_strided,"3;
;
;
",,2.79,2.79,0,0,0,0
aten::item,,,6.0,10.78,0,0,0,0
aten::_local_scalar_dense,,,4.78,4.78,0,0,0,0
aten::item,,,1.62,3.07,0,0,0,0
aten::_local_scalar_dense,,,1.45,1.45,0,0,0,0
aten::item,,,1.57,2.46,0,0,0,0
aten::_local_scalar_dense,,,0.89,0.89,0,0,0,0
aten::alias,"3840,1152",,6.05,6.05,0,0,0,0
aten::unsqueeze,"729,1152;
",,6.98,12.06,0,0,0,0
aten::as_strided,"729,1152;
;
;
",,5.08,5.08,0,0,0,0
aten::reshape,"1,729,1152;
",,2.73,6.55,0,0,0,0
aten::view,"1,729,1152;
",,3.82,3.82,0,0,0,0
aten::permute,"1,27,27,1152;
",,6.78,14.3,0,0,0,0
aten::as_strided,"1,27,27,1152;
;
;
",,7.52,7.52,0,0,0,0
aten::upsample_bilinear2d,"1,1152,27,27;
;
;
",,8.17,70.38,0,183.22,0,0
aten::upsample_bilinear2d,"1,1152,27,27;
;
;
;
",,31.21,62.21,0,183.22,0,0
empty_tensor,,,15.68,15.68,0,0,0,0
aclnnUpsampleBilinear2d,,,15.32,15.32,183.22,183.22,0,0
aten::permute,"1,1152,48,80;
",,4.48,10.05,0,0,0,0
aten::as_strided,"1,1152,48,80;
;
;
",,5.57,5.57,0,0,0,0
aten::view,"1,48,80,1152;
",,4.21,4.21,0,0,0,0
aten::squeeze,"1,3840,1152;
",,4.19,7.83,0,0,0,0
aten::as_strided,"1,3840,1152;
;
;
",,3.64,3.64,0,0,0,0
aten::repeat,"3840,1152;
",,20.27,29.81,0,39.019999999999996,0,0
empty_tensor,,,6.9,6.9,0,0,0,0
aclnnRepeat,,,2.64,2.64,39.019999999999996,39.019999999999996,0,0
aten::add,"3840,1152;
3840,1152;
",,21.19,28.0,0,13.58,0,0
empty_tensor,,,4.7,4.7,0,0,0,0
aclnnAdd,,,2.11,2.11,13.58,13.58,0,0
aten::cat,";
",,20.0,28.04,0,10.74,0,0
empty_tensor,,,5.45,5.45,0,0,0,0
aclnnCat,,,2.59,2.59,10.74,10.74,0,0
